mean_no2,n_valid,time,valid_fraction
,0,2019-10-01T00:04,0.0
,0,2019-10-01T01:45,0.0
,0,2019-10-01T03:27,0.0
,0,2019-10-01T05:08,0.0
,0,2019-10-01T06:50,0.0
2.040485668848935e-05,95,2019-10-01T08:31,0.4298642533936652
,0,2019-10-01T10:13,0.0
,0,2019-10-01T11:54,0.0
,0,2019-10-01T13:36,0.0
,0,2019-10-01T15:17,0.0
,0,2019-10-01T16:59,0.0
,0,2019-10-01T18:40,0.0
,0,2019-10-01T20:21,0.0
,0,2019-10-01T22:03,0.0
,0,2019-10-01T23:44,0.0
,0,2019-10-02T01:26,0.0
,0,2019-10-02T03:07,0.0
,0,2019-10-02T04:49,0.0
,0,2019-10-02T06:30,0.0
3.0210443579568158e-05,271,2019-10-02T08:12,1.2262443438914028
,0,2019-10-02T09:53,0.0
,0,2019-10-02T11:35,0.0
,0,2019-10-02T13:16,0.0
,0,2019-10-02T14:58,0.0
,0,2019-10-02T16:39,0.0
,0,2019-10-02T18:21,0.0
,0,2019-10-02T20:02,0.0
,0,2019-10-02T21:44,0.0
,0,2019-10-02T23:25,0.0
,0,2019-10-03T01:07,0.0
,0,2019-10-03T02:48,0.0
,0,2019-10-03T04:30,0.0
,0,2019-10-03T06:11,0.0
4.422753740400527e-05,56,2019-10-03T07:53,0.25339366515837103
,0,2019-10-03T09:34,0.0
,0,2019-10-03T11:16,0.0
,0,2019-10-03T12:57,0.0
,0,2019-10-03T14:39,0.0
,0,2019-10-03T16:20,0.0
,0,2019-10-03T18:02,0.0
,0,2019-10-03T19:43,0.0
,0,2019-10-03T21:25,0.0
,0,2019-10-03T23:06,0.0
,0,2019-10-04T00:48,0.0
,0,2019-10-04T02:29,0.0
,0,2019-10-04T04:11,0.0
,0,2019-10-04T05:52,0.0
3.7790156513648114e-05,103,2019-10-04T07:34,0.4660633484162896
,0,2019-10-04T09:15,0.0
,0,2019-10-04T10:57,0.0
,0,2019-10-04T12:38,0.0
,0,2019-10-04T14:20,0.0
,0,2019-10-04T16:01,0.0
,0,2019-10-04T17:43,0.0
,0,2019-10-04T19:24,0.0
,0,2019-10-04T21:06,0.0
,0,2019-10-04T22:47,0.0
,0,2019-10-05T00:29,0.0
,0,2019-10-05T02:10,0.0
,0,2019-10-05T03:52,0.0
,0,2019-10-05T05:33,0.0
4.129526482422696e-05,271,2019-10-05T07:14,1.2262443438914028
,0,2019-10-05T08:56,0.0
